country,ticker,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
USA,NVDA,2/6/21,162.4090522,169.0693927,162.2416581,167.6653748,59416800,0,0
USA,NVDA,3/6/21,166.890916,172.4695078,165.7142326,169.5790253,58000800,0,0
USA,NVDA,4/6/21,171.005555,176.4867271,170.8356755,175.6598053,61712000,0,0
USA,NVDA,7/6/21,175.5898414,178.0006635,171.807495,176.0670166,57575600,0,0
USA,NVDA,8/6/21,175.1501597,176.0919914,172.3895758,174.4481506,32384800,0,0
USA,NVDA,9/6/21,175.0753569,175.6675779,172.4765702,173.5010986,38165600,0.04,0
USA,NVDA,10/6/21,173.4186257,174.8379579,171.6794363,174.1682739,28777200,0,0
USA,NVDA,11/6/21,174.7130169,179.3083643,174.3556864,178.1688995,41630800,0,0
USA,NVDA,14/6/21,178.9760232,180.3104038,176.5446688,180.1029968,32137600,0,0
USA,NVDA,15/6/21,179.0659655,180.0780028,177.1968475,177.8015594,24303200,0,0
USA,NVDA,16/6/21,177.8240661,179.4632963,175.7625333,178.0189667,30712400,0,0
USA,NVDA,17/6/21,177.6616264,188.2616632,177.4792169,186.4849854,80965600,0,0
USA,NVDA,18/6/21,187.7518975,193.6591293,185.7528355,186.3000793,96885600,0,0
USA,NVDA,21/6/21,184.26603,185.2780673,178.1439027,184.1860809,67238400,0,0
USA,NVDA,22/6/21,184.6283516,189.5485432,183.773757,188.7789001,58014400,0,0
USA,NVDA,23/6/21,189.9883456,191.4376624,188.9888146,190.4831085,33235600,0,0
USA,NVDA,24/6/21,192.1873194,194.1089183,190.7929846,191.96492,32092400,0,0
USA,NVDA,25/6/21,192.7145585,193.3642628,188.8563836,190.2207336,27836400,0,0
USA,NVDA,28/6/21,193.5216939,200.6933317,193.0993914,199.7562714,49543600,0,0
USA,NVDA,29/6/21,198.7317404,200.8932322,196.4778085,200.1735687,36763200,0,0
USA,NVDA,30/6/21,199.8986816,201.5304232,198.5443215,199.9311676,32656800,0,0
USA,NVDA,1/7/21,201.1556204,204.4640657,200.0961199,202.0252075,48013600,0,0
USA,NVDA,2/7/21,204.306631,204.9563353,202.7823523,204.7739105,34276400,0,0
USA,NVDA,6/7/21,207.2777407,208.3222487,203.4070593,206.8879242,44670800,0,0
USA,NVDA,7/7/21,208.4372092,208.6521047,203.2246585,203.6219635,41842800,0,0
USA,NVDA,8/7/21,198.4718661,201.2355686,196.9151015,198.9341431,50330000,0,0
USA,NVDA,9/7/21,199.5313868,200.7083402,197.4498591,200.4084778,29662400,0,0
USA,NVDA,12/7/21,202.3050653,205.2311977,201.7828189,205.0287933,32198400,0,0
USA,NVDA,13/7/21,203.9093283,204.5165416,201.0456665,202.4050293,29070800,0,0
USA,NVDA,14/7/21,203.4820146,204.0817393,197.4348492,198.3219299,38010000,0,0
USA,NVDA,15/7/21,198.0245842,198.3769274,188.4965685,189.5735626,55056400,0,0
USA,NVDA,16/7/21,190.2157242,191.4801455,180.6452187,181.5248108,68822400,0,0
USA,NVDA,19/7/21,179.0684624,190.3306791,178.5711982,187.7094116,74906000,0,0
USA,NVDA,20/7/21,187.2121541,188.2916493,181.5548051,186.0326996,43468700,0,4
USA,NVDA,21/7/21,188.7314497,195.1784216,187.3320972,194.0089722,37101700,0,0
USA,NVDA,22/7/21,196.3278846,198.7767326,192.6695974,195.848114,32382600,0,0
USA,NVDA,23/7/21,196.4678174,196.9076135,192.4097238,195.4882813,19567200,0,0
USA,NVDA,26/7/21,193.019421,194.3288041,189.0512819,192.8495026,20394300,0,0
USA,NVDA,27/7/21,192.5596387,196.1279716,187.3221061,191.9899139,24886300,0,0
USA,NVDA,28/7/21,193.099389,196.3678595,189.8609032,194.9385223,20219100,0,0
USA,NVDA,29/7/21,195.0984642,198.4368942,193.1893563,196.5277863,19078100,0,0
USA,NVDA,30/7/21,194.0889266,196.2079428,192.5396657,194.8985596,18349700,0,0
USA,NVDA,2/8/21,196.9076136,199.5163902,193.519204,197.4073792,21744400,0,0
USA,NVDA,3/8/21,197.3074044,202.1251509,192.1098465,198.0570526,30181100,0,0
USA,NVDA,4/8/21,199.8062482,203.0847088,198.1870128,202.644928,23130900,0,0
USA,NVDA,5/8/21,204.9038409,207.2327498,203.3245802,206.2731934,21143500,0,0
USA,NVDA,6/8/21,205.143729,205.6035047,202.0052026,203.5644684,17849700,0,0
USA,NVDA,9/8/21,204.3641142,204.9838185,201.3355212,202.8548126,14644300,0,0
USA,NVDA,10/8/21,203.1246849,204.2041802,198.256974,199.2664948,17923800,0,0
USA,NVDA,11/8/21,200.3360028,200.3959875,194.2088878,196.8976288,18592500,0,0
USA,NVDA,12/8/21,198.6068078,200.1960585,196.1079803,198.9566498,15165200,0,0
USA,NVDA,13/8/21,198.9566495,202.0451967,198.4168942,201.7853241,18306300,0,0
USA,NVDA,16/8/21,201.2555869,202.7748632,194.4387777,199.4064484,21087600,0,0
